AssessmentYear,RegionalUnitID,RegionalUnitName,UnitType,CumulativeStress,Flag,Category_CoastalProcesses,ShorelineHardening,LittoralBarriers,TributaryConnectivity,Category_ContaminantsWaterSediment,WaterQuality,SedimentQuality,BenthicCommunity,Category_NuisanceHarmfulAlgae,Cyanobacteria,Cladophora,Category_HumanUse,Fish Consumption,BeachPostings,TreatedDrinkingWater,x_centroid,y_centroid
2019,LO01,NIAGARA RIVER TO WELLAND CANAL,Moderate energy with connecting channel,Moderate stress, ,Moderate Stress,Moderate stress,Low stress,High stress,High Stress,High stress,No data,No data,Moderate Stress,Low stress,High stress,Low Stress,Low stress,Moderate stress,Low stress,-79.11299117,43.20861506
2019,LO02,NIAGARA PENINSULA,Moderate energy,Moderate stress, ,High Stress,High stress,High stress,Moderate stress,Moderate Stress,Low stress,Moderate stress,High stress,Moderate Stress,Low stress,Moderate stress,Moderate Stress,Moderate stress,Moderate stress,Low stress,-79.51466914,43.23794407
2019,LO03,HAMILTON HARBOUR,Embayment,High stress,Cyanobacteria,Moderate Stress,High stress,N/A,Low stress,High Stress,Low stress,High stress,High stress,High Stress,High stress,N/A,Moderate Stress,Low stress,High stress,N/A,-79.833862,43.28889139
2019,LO04,BURLINGTON BEACH TO HUMBER BAY,Moderate energy,Moderate stress, ,High Stress,High stress,High stress,Moderate stress,Moderate Stress,Low stress,Moderate stress,High stress,Moderate Stress,Low stress,High stress,Moderate Stress,Moderate stress,Moderate stress,Low stress,-79.62004862,43.46819269
2019,LO05,HUMBER BAY,High energy,Moderate stress, ,High Stress,High stress,N/A,High stress,Moderate Stress,Low stress,Moderate stress,High stress,Low Stress,Low stress,Low stress,Moderate Stress,Low stress,High stress,N/A,-79.44992505,43.61875232
2019,LO06,TORONTO,High energy,Moderate stress, ,High Stress,High stress,High stress,High stress,Moderate Stress,Low stress,Moderate stress,Moderate stress,Moderate Stress,Low stress,High stress,Low Stress,Low stress,Low stress,Low stress,-79.37002257,43.62300758
2019,LO07,TOMMY THOMPSON PARK TO PICKERING,Moderate energy,Moderate stress, ,High Stress,High stress,High stress,Moderate stress,Moderate Stress,Low stress,Moderate stress,Moderate stress,Moderate Stress,Low stress,High stress,Moderate Stress,Moderate stress,Moderate stress,Low stress,-79.18923338,43.71600273
2019,LO08,PICKERING TO ST. MARY'S CEMENT PIER,High energy,Moderate stress, ,Moderate Stress,Low stress,High stress,Moderate stress,Insufficient Data,Low stress,No data,No data,Moderate Stress,Low stress,High stress,Moderate Stress,Moderate stress,Moderate stress,Low stress,-78.86909005,43.83365957
2019,LO09,ST. MARY'S CEMENT PIER TO COBOURG,High energy,Moderate stress, ,Moderate Stress,Low stress,High stress,Moderate stress,Insufficient Data,Low stress,No data,No data,Moderate Stress,Low stress,Moderate stress,Moderate Stress,Moderate stress,Moderate stress,Low stress,-78.40947202,43.90448839
2019,LO10,COBOURG TO GULL ISLAND,High energy,Moderate stress, ,Moderate Stress,Low stress,High stress,Low stress,Low Stress,Low stress,Moderate stress,Low stress,Moderate Stress,Low stress,Moderate stress,Moderate Stress,Moderate stress,Moderate stress,Low stress,-77.93170488,43.96178761
2019,LO11,PRINCE EDWARD COUNTY,High energy,Moderate stress, ,Moderate Stress,Low stress,N/A,Moderate stress,Moderate Stress,Low stress,No data,Moderate stress,Moderate Stress,Low stress,Moderate stress,Moderate Stress,Moderate stress,Moderate stress,Low stress,-77.34628625,43.91069891
2019,LO12,BAY OF QUINTE,Embayment,Moderate stress,Cyanobacteria,Moderate Stress,Low stress,N/A,High stress,Low Stress,Low stress,Moderate stress,Low stress,High Stress,High stress,N/A,Low Stress,Moderate stress,Low stress,Low stress,-77.1975045,44.11970435
2019,LO13,KINGSTON BASIN,Moderate energy,Moderate stress,Cyanobacteria,Moderate Stress,Moderate stress,N/A,Moderate stress,Moderate Stress,Low stress,Moderate stress,High stress,High Stress,High stress,High stress,Moderate Stress,Low stress,High stress,Low stress,-76.69619752,44.04176968
2019,LO14,THOUSAND ISLANDS REGION,Connecting channel,Moderate stress, ,High Stress,Moderate stress,N/A,High stress,Low Stress,Low stress,Low stress,Low stress,Low Stress,Low stress,N/A,Moderate Stress,Moderate stress,Moderate stress,Low stress,-76.16756947,44.29740361
2019,LO15,BROCKVILLE TO IROQUOIS DAM,Connecting channel,Moderate stress, ,Moderate Stress,High stress,N/A,Low stress,Low Stress,Low stress,Low stress,Low stress,Low Stress,Low stress,N/A,Moderate Stress,Moderate stress,Moderate stress,Low stress,-75.57744782,44.65450832
2019,LO16,IROQUOIS DAM TO MOSES SAUNDERS DAM,Connecting channel,Moderate stress, ,Low Stress,Low stress,N/A,Low stress,Moderate Stress,No data,No data,Moderate stress,Low Stress,Low stress,N/A,Moderate Stress,Moderate stress,Moderate stress,Low stress,-74.99026258,44.97200259
2019,LO17,LAKE SAINT FRANCIS,Connecting channel,Moderate stress, ,High Stress,High stress,N/A,Moderate stress,Low Stress,Low stress,Low stress,Low stress,Insufficient Data,No data,N/A,Low Stress,Moderate stress,Low stress,Low stress,-74.50898872,45.1012205
