***LakeOntarioNearshoreCumulativeStress.csv***,,
AssessmentYear,Year that nearshore assessment was completed,
RegionalUnitID,"Unique identifier for Regional Unit (lake, number)",
RegionalUnitName,Name assigned to Regional Unit,
UnitType,Regional Unit ecosystem type,
CumulativeStress,overall cumulative stress assigned to Regional Unit,
Flag,Concerns to human or ecosystem health,
Category_CoastalProcesses,"cumulative stress assigned to the Coastal Processes category, based on Shoreline Hardening, Littoral Barriers and Tributary Connectivity",
ShorelineHardening,"source of stress (low, moderate, high) on Regional Unit based on the percent of shoreline that is hardened",Low Stress: <25% hardened; Moderate Stress: 25-50% hardened; High Stress: >50% hardened
LittoralBarriers,"source of stress (low, moderate, high) on Regional Unit based on the number of littoral barriers",Low Stress: 0 littoral barriers; Moderate Stress: 1 littoral barrier; High Stress: >1 littoral barrier; N/A: littoral drift not a significant process
TributaryConnectivity,"source of stress (low, moderate, high) on Regional Unit based on the total length of tributaries that are connected to the nearshore",Low Stress: >75% tributary connectivity; Moderate Stress: 25-75% tributary connectivity; High Stress: <25% tributary connectivity
Category_ContaminantsWaterSediment,"cumulative stress (low, moderate, high) assigned to Contaminants in Water & Sediment category, based on Sediment Quality, Water Quality and Benthic Community",
WaterQuality,"source of stress (low, moderate, high) on Regional Unit based on the number of exceedances in provincial or federal water quality guidelines",Low Stress: 0 exceedances; Moderate Stress: 1-2 exceedances; High Stress: >2 exceedances
SedimentQuality,"source of stress (low, moderate, high) on Regional Unit based on severity of exceedances in provincial or federal guidelines","Low Stress: PCBs < NEL, Organochlorine pesticides & PAHs < LEL, Metals < PEL and < SEL; Moderate Stress: PCBs > NEL OR, Organochlorine pesticides & PAHs > LEL but < SEL OR Metals > PEL but < SEL; High Stress: any contaminants > SEL"
BenthicCommunity,"source of stress (low, moderate, high) on Regional Unit based on benthic community condition",Low Stress: benthic community is functional; Moderate Stress: benthic community is degraded but functional; High Stress: benthic community is severely degraded and not functional
Category_NuisanceHarmfulAlgae,"cumulative stress (low, moderate, high) assigned to Nuisance & Harmful Algae category based on Cyanobacteria and Cladophora",
Cyanobacteria,"source of stress (low, high) on Regional Unit based on cyanobacteria blooms",Low Stress: no cyanobacteria bloom >2% of Regional Unit area; High Stress: cyanobacteria bloom >2% of Regional Unit area
Cladophora,"source of stress (low, moderate, high) on Regional Unit based on the extent (coverage) of nuisance Cladophora",Low Stress: <20% coverage; Moderate Stress: 20-35% coverage; High Stress: >35% coverage
Category_HumanUse,"cumulative stress (low, moderate, high) assigned to Human Use category, based on Fish Consumption, Beach Postings and Treated Drinking Water",
FishConsumption,"source of stress (low, moderate, high) on Regional Unit based on the average number of meals per month of certain fish species",Low Stress: 8 or more meals per month; Moderate Stress: 1-7 meals per month; High Stress: <1 meal per month
BeachPostings,"source of stress (low, moderate, high) on Regional Unit based on the amount of time that beaches are posted as unsafe for swimming",Low Stress: beaches posted <5% of the time; Moderate Stress: beaches posted 5-20% of the time; High Stress: beaches posted >20% of the time
TreatedDrinkingWater,"source of stress (low, high) on Regional Unit based on adverse water quality incidents",Low Stress: no adverse water quality incidents; High Stress: 1 or more adverse water quality incidents
x_centroid,geographic coordinate specifying the east-west position of the middle of the Regional Unit,
y_centroid,geographic coordinate specifying the north-south position of the middle of the Regional Unit,
,,
,,
***LakeOntarioNearshore_BenthicCommunity.csv***,,
AssessmentYear,Year that nearshore assessment was completed,
AssessmentCategory,Category and measure of nearshore assessment that data is used to assess,
RegionalUnitID,"Unique identifier for Regional Unit (lake, number)",
LocationID,Unique identifier for index station,
Station_Year,Year that index station was sampled,
TotalBenthos,Total number of individuals in the sample,
TaxonRichness,Number of taxa present in the sample,
Evenness,Measure of the distribution of individuals among the taxa,
BenthicQuality,"Benthic community quality score, calculated based on total benthos, taxon richness and evenness",
Latitude,geographic coordinate specifying the north-south position of LocationID,
Longitude,geographic coordinate specifying the east-west position of LocationID,
DataSource,Original source of the data,
ParentTable,Great Lakes Nearshore Waters Assessment parent table that data is extracted from,
,,
,,
***LakeOntarioNearshore_SedimentQuality.csv***,,
AssessmentYear,Year that nearshore assessment was completed,
AssessmentCategory,Category and measure of nearshore assessment that data is used to assess,
RegionalUnitID,"Unique identifier for Regional Unit (lake, number)",
Category,"Category that parameter is classified as; metals, PCBs, PAHs or Organochlorine Pesticide",
Parameter,Parameter sampled at station,
SampleYear,Year that stations were sampled,
RegionalUnitMedian,Median of all values for parameter recorded at stations within the Regional Unit,
Unit,Unit of measurement,
NoEffectLevel,Whether Regional Unit Median exceeds the No Effect Level (NEL),
LowestEffectLevel,Whether Regional Unit Median exceeds the Lowest Effect Level (LEL),
ProbableEffectLevel,Whether Regional Unit Median exceeds the Probable Effect Level (PEL),
SevereEffectLevel,Whether Regional Unit Median exceeds the Severe Effect Level (SEL),
ParentTable,Great Lakes Nearshore Waters Assessment parent table that data is extracted from,
DataSource,Original source of data,
x_centroid,geographic coordinate specifying the east-west position of the middle of the Regional Unit,
y_centroid,geographic coordinate specifying the north-south position of the middle of the Regional Unit,
,,
,,
***LakeOntarioNearshore_WaterQuality.csv***,,
AssessmentYear,Year that nearshore assessment was completed,
AssessmentCategory,Category and measure of nearshore assessment that data is used to assess,
RegionalUnitID,"Unique identifier for Regional Unit (lake, number)",
StationNumber,Number assigned to provincial survey/index station,
StationName,Name used to describe station,
SampleDay,date (DD/MM/YYYY) that station was sampled,
Parameter,water quality parameter sampled at station,
DailyMean,daily average of recorded values at station,
Unit,unit of measurement,
Exceedance,whether Daily Mean exceeds provincial or federal water quality guidelines,
Latitude,geographic coordinate specifying the north-south position of the StationNumber,
Longitude,geographic coordinate specifying the east-west position of the StationNumber,
ParentTable,Great Lakes Nearshore Waters Assessment parent table that data is extracted from,
DataSource,Original source of data,
,,
,,
***LakeOntarioNearshore_BeachPostings.csv***,,
AssessmentYear,Year that nearshore assessment was completed,
AssessmentCategory,Category and measure of nearshore assessment that data is used to assess,
