AssessmentYear,AssessmentCategory,RegionalUnitID,BeachName,DaysAnalyzed,PercentDaysPosted,Latitude,Longitude,DataSource,ParentRecord
2019,Human Use - Beach Postings,LO01,Queens Royal,"July and August, 2018",14.00%,43.26,-79.07,Swim Drink Fish Canada,GreatLakesNearshoreMonitoredBeaches.csv
2019,Human Use - Beach Postings,LO02,Beach Boulevard,"July and August, 2018",0.00%,43.3,-79.79,Swim Drink Fish Canada,GreatLakesNearshoreMonitoredBeaches.csv
2019,Human Use - Beach Postings,LO02,Casablanca Beach,"July and August, 2018",0.00%,43.21,-79.59,Swim Drink Fish Canada,GreatLakesNearshoreMonitoredBeaches.csv
2019,Human Use - Beach Postings,LO02,Charles Daley Park East,"July and August, 2018",6.00%,43.18,-79.33,Swim Drink Fish Canada,GreatLakesNearshoreMonitoredBeaches.csv
2019,Human Use - Beach Postings,LO02,Charles Daley Park West,"July and August, 2018",0.00%,43.18,-79.33,Swim Drink Fish Canada,GreatLakesNearshoreMonitoredBeaches.csv
2019,Human Use - Beach Postings,LO02,Confederation Park,"July and August, 2018",0.00%,43.25,-79.75,Swim Drink Fish Canada,GreatLakesNearshoreMonitoredBeaches.csv
2019,Human Use - Beach Postings,LO02,Fifty Point Conservation Beach,"July and August, 2018",10.00%,43.23,-79.62,Swim Drink Fish Canada,GreatLakesNearshoreMonitoredBeaches.csv
2019,Human Use - Beach Postings,LO02,Lakeside Park Beach,"July and August, 2018",3.00%,43.2,-79.27,Swim Drink Fish Canada,GreatLakesNearshoreMonitoredBeaches.csv
2019,Human Use - Beach Postings,LO02,Nelles Park Beach,"July and August, 2018",13.00%,43.2,-79.54,Swim Drink Fish Canada,GreatLakesNearshoreMonitoredBeaches.csv
2019,Human Use - Beach Postings,LO02,Sunset Beach (formerly Municipal Beach),"July and August, 2018",20.00%,43.22,-79.22,Swim Drink Fish Canada,GreatLakesNearshoreMonitoredBeaches.csv
2019,Human Use - Beach Postings,LO02,Van Wagners Beach,"July and August, 2018",0.00%,43.25,-79.76,Swim Drink Fish Canada,GreatLakesNearshoreMonitoredBeaches.csv
2019,Human Use - Beach Postings,LO03,Pier 4,"July and August, 2018",55.00%,43.27,-79.87,Swim Drink Fish Canada,GreatLakesNearshoreMonitoredBeaches.csv
2019,Human Use - Beach Postings,LO04,Beachway Park,"July and August, 2018",14.00%,43.31,-79.8,Swim Drink Fish Canada,GreatLakesNearshoreMonitoredBeaches.csv
2019,Human Use - Beach Postings,LO04,Brant Street Beach,"July and August, 2018",17.00%,43.32,-79.8,Swim Drink Fish Canada,GreatLakesNearshoreMonitoredBeaches.csv
2019,Human Use - Beach Postings,LO04,Bronte Beach Park,"July and August, 2018",10.00%,43.39,-79.71,Swim Drink Fish Canada,GreatLakesNearshoreMonitoredBeaches.csv
2019,Human Use - Beach Postings,LO04,Coronation Park East,"July and August, 2018",30.00%,43.41,-79.69,Swim Drink Fish Canada,GreatLakesNearshoreMonitoredBeaches.csv
