AssessmentYear,AssessmentCategory,RegionalUnitID,LocationID,SampleYear,Station_Year,TotalBenthos,TaxonRichness,Evenness,BenthicQuality,Latitude,Longitude,DataSource,ParentTable
2019,Contaminants in Water & Sediment - Benthic Community,LO11,400,2010,0400-10,13811.7891,24,0.643,Moderate Quality,44.0177778,-77.6977778,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO11,400,2011,0400-11,7418.5498,23,0.791,Moderate Quality,44.0177778,-77.6977778,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO11,401,2006,0401-06,7237.6001,13,0.521,Low Quality,44.0133528,-77.7083,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO11,401,2011,0401-11,3136.2903,12,0.876,Low Quality,44.0133333,-77.7083333,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO11,402,2006,0402-06,21954.0938,55,0.854,High Quality,44.0048444,-77.695125,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO11,402,2011,0402-11,6996.3403,24,0.826,Moderate Quality,44.0044444,-77.6951389,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO11,403,2006,0403-06,5318.3911,60,0.726,High Quality,44.00475,-77.7133083,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO11,404,2010,0404-10,20446.2461,57,0.749,High Quality,44.0091667,-77.7269444,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO11,405,2010,0405-10,64414.9141,61,0.766,High Quality,43.9969444,-77.7163889,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO11,406,2014,0406-14,19963.7285,49,0.739,High Quality,44.0067133,-77.6977567,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO13,1302,2010,1302-10,47285.8398,27,0.444,Moderate Quality,43.9286111,-77.0288889,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO13,1303,2010,1303-10,10072.3604,13,0.753,Moderate Quality,43.9494444,-77.0175,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO13,1304,2010,1304-10,1809.4001,9,0.872,Low Quality,43.9694444,-76.9627778,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO11,1305,2014,1305-14,31162.6445,21,0.543,Moderate Quality,43.8760833,-76.9752833,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO13,1306,2010,1306-10,2714.1099,11,0.755,Low Quality,43.9447222,-76.9341667,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO13,1309,2014,1309-14,47768.3672,15,0.396,Low Quality,44.09465,-76.7084333,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO12,1310,2006,1310-06,13570.5693,24,0.852,Moderate Quality,44.0727056,-77.0790778,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO12,1310,2010,1310-10,7297.9395,17,0.797,Moderate Quality,44.0727778,-77.0791667,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO12,1311,2010,1311-10,96381.1875,58,0.737,High Quality,44.0572222,-77.0486111,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO12,1312,2006,1312-06,28890.2207,26,0.666,Moderate Quality,44.0978806,-77.0425194,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO12,1312,2010,1312-10,8443.8896,19,0.679,Moderate Quality,44.0977778,-77.0425,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO13,1313,2010,1313-10,8926.3799,18,0.714,Moderate Quality,44.1252778,-76.8319444,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO13,1315,2014,1315-14,3933.1702,21,0.614,Moderate Quality,44.0943667,-76.70815,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO13,1316,2014,1316-14,2634.4702,16,0.645,Low Quality,44.11,-76.6183,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO13,1317,2014,1317-14,19360.6602,18,0.627,Moderate Quality,44.15,-76.6342167,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO16,1320,2007,1320-07,26477.6738,22,0.564,Moderate Quality,45.0086111,-74.9347778,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO16,1320,2012,1320-12,9107.3389,17,0.64,Moderate Quality,45.0086111,-74.9347222,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO16,1321,2007,1321-07,2696.3101,25,0.787,Moderate Quality,45.0244444,-74.8184444,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO16,1321,2012,1321-12,39324.4414,27,0.638,Moderate Quality,45.0244444,-74.8183889,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
2019,Contaminants in Water & Sediment - Benthic Community,LO16,1322,2007,1322-07,22979.4824,29,0.756,High Quality,45.0005556,-74.8081389,ECCC Great Lakes Action Plan Area of Concern and Reference Sites Assessments,GreatLakesNearshoreBenthicTaxaFederal.csv
