AssessmentYear,AssessmentCategory,RegionalUnitID,MeasureApplies,TotalMappedArea_ha,NuisanceAlgae_ha,UncolonizedSubstrate_ha,Percent_NuisanceAlgae,DataSource,x_centroid,y_centroid
2019,Nuisance & Harmful Algae - Cladophora,LO01,Yes,951.37,460.56,490.81,48.41%,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-79.11299117,43.20861506
2019,Nuisance & Harmful Algae - Cladophora,LO02,Yes,5087.28,1731.9,3355.38,34.04%,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-79.51466914,43.23794407
2019,Nuisance & Harmful Algae - Cladophora,LO03,No - conditions not conducive to growth,-99,-99,-99,,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-79.833862,43.28889139
2019,Nuisance & Harmful Algae - Cladophora,LO04,Yes,2527.23,1165.32,1361.91,46.11%,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-79.62004862,43.46819269
2019,Nuisance & Harmful Algae - Cladophora,LO05,Yes,313.95,60.74,253.22,19.35%,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-79.44992505,43.61875232
2019,Nuisance & Harmful Algae - Cladophora,LO06,Yes,863.68,423.71,439.97,49.06%,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-79.37002257,43.62300758
2019,Nuisance & Harmful Algae - Cladophora,LO07,Yes,1764.96,628.08,1136.88,35.59%,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-79.18923338,43.71600273
2019,Nuisance & Harmful Algae - Cladophora,LO08,Yes,2109.24,857.79,1251.45,40.67%,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-78.86909005,43.83365957
2019,Nuisance & Harmful Algae - Cladophora,LO09,Yes,3647.12,735.63,2911.49,20.17%,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-78.40947202,43.90448839
2019,Nuisance & Harmful Algae - Cladophora,LO10,Yes,3878.8,1297.53,2581.27,33.45%,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-77.93170488,43.96178761
2019,Nuisance & Harmful Algae - Cladophora,LO11,Yes,11961.21,2900.99,9060.22,24.25%,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-77.34628625,43.91069891
2019,Nuisance & Harmful Algae - Cladophora,LO12,No - conditions not conducive to growth,-99,-99,-99,,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-77.1975045,44.11970435
2019,Nuisance & Harmful Algae - Cladophora,LO13,Yes,15289.69,6535.92,8753.77,42.75%,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-76.69619752,44.04176968
2019,Nuisance & Harmful Algae - Cladophora,LO14,No - conditions not conducive to growth,-99,-99,-99,,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-76.16756947,44.29740361
2019,Nuisance & Harmful Algae - Cladophora,LO15,No - conditions not conducive to growth,-99,-99,-99,,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-75.57744782,44.65450832
2019,Nuisance & Harmful Algae - Cladophora,LO16,No - conditions not conducive to growth,-99,-99,-99,,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-74.99026258,44.97200259
2019,Nuisance & Harmful Algae - Cladophora,LO17,No - conditions not conducive to growth,-99,-99,-99,,"Michigan Tech Research Institute, SAV Mapping (2016-2018)",-74.50898872,45.1012205
