AssessmentYear,AssessmentCategory,RegionalUnitID,Cyanobacteria,BloomYear,DataSource,x_centroid,y_centroid
2019,Nuisance & Harmful Algae - Cyanobacteria,LO01,No bloom,,NOAA Harmful Algal Bloom Monitoring Program,-79.11299117,43.20861506
2019,Nuisance & Harmful Algae - Cyanobacteria,LO02,No bloom,,NOAA Harmful Algal Bloom Monitoring Program,-79.51466914,43.23794407
2019,Nuisance & Harmful Algae - Cyanobacteria,LO03,Bloom,"2016, 2018",NOAA Harmful Algal Bloom Monitoring Program,-79.833862,43.28889139
2019,Nuisance & Harmful Algae - Cyanobacteria,LO04,No bloom,,NOAA Harmful Algal Bloom Monitoring Program,-79.62004862,43.46819269
2019,Nuisance & Harmful Algae - Cyanobacteria,LO05,No bloom,,NOAA Harmful Algal Bloom Monitoring Program,-79.44992505,43.61875232
2019,Nuisance & Harmful Algae - Cyanobacteria,LO06,No bloom,,NOAA Harmful Algal Bloom Monitoring Program,-79.37002257,43.62300758
2019,Nuisance & Harmful Algae - Cyanobacteria,LO07,No bloom,,NOAA Harmful Algal Bloom Monitoring Program,-79.18923338,43.71600273
2019,Nuisance & Harmful Algae - Cyanobacteria,LO08,No bloom,,NOAA Harmful Algal Bloom Monitoring Program,-78.86909005,43.83365957
2019,Nuisance & Harmful Algae - Cyanobacteria,LO09,No bloom,,NOAA Harmful Algal Bloom Monitoring Program,-78.40947202,43.90448839
2019,Nuisance & Harmful Algae - Cyanobacteria,LO10,No bloom,,NOAA Harmful Algal Bloom Monitoring Program,-77.93170488,43.96178761
2019,Nuisance & Harmful Algae - Cyanobacteria,LO11,No bloom,,NOAA Harmful Algal Bloom Monitoring Program,-77.34628625,43.91069891
2019,Nuisance & Harmful Algae - Cyanobacteria,LO12,Bloom,"2016, 2017, 2018",NOAA Harmful Algal Bloom Monitoring Program,-77.1975045,44.11970435
2019,Nuisance & Harmful Algae - Cyanobacteria,LO13,Bloom,2017,NOAA Harmful Algal Bloom Monitoring Program,-76.69619752,44.04176968
2019,Nuisance & Harmful Algae - Cyanobacteria,LO14,No bloom,,NOAA Harmful Algal Bloom Monitoring Program,-76.16756947,44.29740361
2019,Nuisance & Harmful Algae - Cyanobacteria,LO15,No bloom,,NOAA Harmful Algal Bloom Monitoring Program,-75.57744782,44.65450832
2019,Nuisance & Harmful Algae - Cyanobacteria,LO16,No bloom,,NOAA Harmful Algal Bloom Monitoring Program,-74.99026258,44.97200259
2019,Nuisance & Harmful Algae - Cyanobacteria,LO17,No data,,NOAA Harmful Algal Bloom Monitoring Program,-74.50898872,45.1012205
