AssessmentYear,AssessmentCategory,RegionalUnitID,Category,Parameter,SampleYear,RegionalUnitMedian,Unit,NoEffectLevel,LowestEffectLevel,ProbableEffectLevel,SevereEffectLevel,ParentTable,DataSource,x_centroid,y_centroid
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Carbon - total organic,Carbon; total organic,2012,15,MG/G DRY,NA,NA,NA,NA,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Metals,Iron,2012,27500,UG/G DRY,NA,Exceedance,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Metals,Manganese,2012,675,UG/G DRY,NA,Exceedance,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Metals,Nickel,2012,27.5,UG/G DRY,NA,Exceedance,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Metals,Chromium,2012,28,UG/G DRY,NA,Exceedance,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Metals,Copper,2012,22.5,UG/G DRY,NA,Exceedance,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Metals,Arsenic,2012,2.725,UG/G DRY,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Metals,Cadmium,2012,0.15,UG/G DRY,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Metals,Lead,2012,23.5,UG/G DRY,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Metals,Mercury,2012,0.06,UG/G DRY,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Metals,Zinc,2012,109.5,UG/G DRY,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Organochlorine Pesticide,a-BHC (hexachlorocyclohexane),2012,0,NG,NA,Does not exceed,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Organochlorine Pesticide,Aldrin,2012,0.5,NG,NA,Does not exceed,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Organochlorine Pesticide,b-BHC (hexachlorocyclohexane),2012,0,NG,NA,Does not exceed,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Organochlorine Pesticide,Dieldrin,2012,0,NG,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Organochlorine Pesticide,Endrin,2012,0.5,NG,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Organochlorine Pesticide,Hexachlorobenzene,2012,1,NG,NA,Does not exceed,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Organochlorine Pesticide,Mirex,2012,0.5,NG,NA,Does not exceed,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Organochlorine Pesticide,op-DDT,2012,0.5,NG,NA,Does not exceed,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Organochlorine Pesticide,pp-DDD,2012,1.5,NG,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Organochlorine Pesticide,pp-DDE,2012,2.5,NG,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,Organochlorine Pesticide,pp-DDT,2012,1,NG,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,PAHs,Anthracene,2012,18,NG/G DRY,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,PAHs,Benzo(a)anthracene,2012,47,NG/G DRY,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,PAHs,Benzo(a)pyrene,2012,60,NG/G DRY,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,PAHs,"Benzo(g,h,i)perylene",2012,60,NG/G DRY,NA,Does not exceed,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,PAHs,Benzo(k)fluoranthene,2012,37,NG/G DRY,NA,Does not exceed,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,PAHs,Chrysene,2012,55,NG/G DRY,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,PAHs,"Dibenzo(a,h)anthracene",2012,15.5,NG/G DRY,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,PAHs,Fluoranthene,2012,120,NG/G DRY,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,PAHs,Fluorene,2012,10,NG/G DRY,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,PAHs,"Indeno(1,2,3-c,d)pyrene",2012,65,NG/G DRY,NA,Does not exceed,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,PAHs,Phenanthrene,2012,65,NG/G DRY,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,PAHs,Pyrene,2012,105,NG/G DRY,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO02,PCBs,PCB; total,2012,30.5,NG,Exceedance,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.51466914,43.23794407
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Carbon - total organic,Carbon; total organic,2012,57,MG/G DRY,NA,NA,NA,NA,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Metals,Nickel,2012,44,UG/G DRY,NA,Exceedance,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Metals,Arsenic,2012,20,UG/G DRY,NA,Exceedance,Exceedance,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Metals,Chromium,2012,110,UG/G DRY,NA,Exceedance,Exceedance,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Metals,Lead,2012,180,UG/G DRY,NA,Exceedance,Exceedance,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Metals,Cadmium,2012,2.6,UG/G DRY,NA,Exceedance,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Metals,Copper,2012,110,UG/G DRY,NA,Exceedance,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Metals,Iron,2012,62000,UG/G DRY,NA,Exceedance,NA,Exceedance,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Metals,Manganese,2012,2400,UG/G DRY,NA,Exceedance,NA,Exceedance,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Metals,Zinc,2012,1200,UG/G DRY,NA,Exceedance,Exceedance,Exceedance,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Metals,Mercury,2012,0.2,UG/G DRY,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Organochlorine Pesticide,pp-DDE,2012,12,NG,NA,Exceedance,Exceedance,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Organochlorine Pesticide,a-BHC (hexachlorocyclohexane),2012,1,NG,NA,Does not exceed,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Organochlorine Pesticide,Aldrin,2012,0,NG,NA,Does not exceed,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Organochlorine Pesticide,b-BHC (hexachlorocyclohexane),2012,0,NG,NA,Does not exceed,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Organochlorine Pesticide,Dieldrin,2012,1,NG,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Organochlorine Pesticide,Endrin,2012,1,NG,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Organochlorine Pesticide,Hexachlorobenzene,2012,1,NG,NA,Does not exceed,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Organochlorine Pesticide,Mirex,2012,1,NG,NA,Does not exceed,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Organochlorine Pesticide,op-DDT,2012,2,NG,NA,Does not exceed,NA,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
2019,Contaminants in Sediment & Water - Sediment Quality,LO03,Organochlorine Pesticide,pp-DDD,2012,3,NG,NA,Does not exceed,Does not exceed,Does not exceed,GreatLakesNearshoreSedimentChemistryProvincial.csv,MECP Great Lakes Sediment Chemistry,-79.833862,43.28889139
