AssessmentYear,AssessmentCategory,RegionalUnitID,UnitType,ShorelineType,ShorelineExposure,Imagery,LengthKM,x_start,y_start,x_end,y_end
2019,Coastal Processes - Shoreline Hardening,LO01,Moderate Energy Nearshore with Connecting Channel,Hardened,Connecting Channel,SWOOP2015,1.32580935,-78.90911927,42.90732459,-78.91087483,42.91868327
2019,Coastal Processes - Shoreline Hardening,LO01,Moderate Energy Nearshore with Connecting Channel,Natural,Connecting Channel,SWOOP2015,0.777803593,-78.91087483,42.91868327,-78.9128383,42.9254698
2019,Coastal Processes - Shoreline Hardening,LO01,Moderate Energy Nearshore with Connecting Channel,Natural,Connecting Channel,SWOOP2015,0.330870737,-78.97237101,42.95340807,-78.97526343,42.95541624
2019,Coastal Processes - Shoreline Hardening,LO01,Moderate Energy Nearshore with Connecting Channel,Hardened,Connecting Channel,SWOOP2015,0.824754178,-78.97526343,42.95541624,-78.97775881,42.96230332
2019,Coastal Processes - Shoreline Hardening,LO01,Moderate Energy Nearshore with Connecting Channel,Natural,Connecting Channel,SWOOP2015,2.670505896,-78.97775881,42.96230332,-79.00530117,42.97227828
2019,Coastal Processes - Shoreline Hardening,LO01,Moderate Energy Nearshore with Connecting Channel,Hardened,Connecting Channel,SWOOP2015,1.18198743,-78.9128383,42.9254698,-78.91646033,42.9352948
2019,Coastal Processes - Shoreline Hardening,LO01,Moderate Energy Nearshore with Connecting Channel,Natural,Connecting Channel,SWOOP2015,0.416931001,-78.91646033,42.9352948,-78.92018173,42.93783575
2019,Coastal Processes - Shoreline Hardening,LO01,Moderate Energy Nearshore with Connecting Channel,Hardened,Connecting Channel,SWOOP2015,1.905039351,-78.92018173,42.93783575,-78.93744849,42.9488119
2019,Coastal Processes - Shoreline Hardening,LO01,Moderate Energy Nearshore with Connecting Channel,Hardened,Connecting Channel,SWOOP2015,0.578654365,-78.97008003,42.95137697,-78.97237101,42.95340807
2019,Coastal Processes - Shoreline Hardening,LO01,Moderate Energy Nearshore with Connecting Channel,Natural,Connecting Channel,SWOOP2015,2.221443578,-78.93744849,42.9488119,-78.9639632,42.94968713
2019,Coastal Processes - Shoreline Hardening,LO01,Moderate Energy Nearshore with Connecting Channel,Hardened,Connecting Channel,SWOOP2015,0.231438499,-79.00530117,42.97227828,-79.00800315,42.97288887
